Company Name,Title / Role,Linked In URL / Company careers page,Applicants,Experience,Job Description,Requirement,Heard From / Source,Discovery date,Application date,Application Status,Rejection Date,Contact 1 ,Contact 1 state,Contact 1 Comm,Contact 2 ,Contact 2 state,Contact 2 comm,SU Alum 1,SU Alum 2,Note1,Note2,Cover Letter,Sponsership
Lyft,Data Scientist - Autonomous Vehicles,https://boards.greenhouse.io/lyft/jobs/5160226002?gh_jid=5160226002&gh_src=seekorswimcom,,,"Develop analytical frameworks and business metrics to measure performance with statistical rigor Partner with product managers, engineers, program managers, operations and leadership to translate data insights into decisions and action Find opportunities for efficiency improvements in the Autonomous program using data Ownership over data from instrumentation to executive-facing dashboards Author scalable ETL pipeline workflows using workflow orchestration engines like Airflow. Write advanced SQL for query engines like BigQuery to compute metrics or failure modes across large time-series data","Degree in a quantitative field - advanced degrees are preferred Industry experience in a data science or analytics role Proficiency in SQL - able to write structured and efficient queries on large data sets Experience in programming, especially with data science and visualization libraries (Python preferred) Strong oral and written communication skills, and ability to collaborate with cross-functional partners (Nice to have) Experience with various interactive query engines (e.g., BigQuery, Presto), or data processing frameworks (e.g. Spark, Flink, Beam, Hive). (Nice to have) Experience with workflow orchestration platforms (Airflow, Oozie, Azkaban). (Nice to have) Good understanding of SQL Engine and able to conduct advanced performance tuning",Company Website,2021-04-18,2021-04-19,Application sent ,,Ruwaifa Rufy,Connected,,Yuanyuan Pao,Cold Called / Messaged,,,,,,,
Lyft,"Staff Data Scientist, Algorithms",https://boards.greenhouse.io/lyft/jobs/5076464002,,6,"Partner with Engineers, Product Managers, and Business Partners to frame problems, both mathematically and within the business context Perform exploratory data analysis to gain a deeper understanding of the problem Develop and fit statistical, machine learning, or optimization models Write production model code; collaborate with Software Engineers to implement algorithms in production Design and implement both simulated and live experiments Analyze experimental and observational data; communicate findings; facilitate launch decisions","M.S. or Ph.D. in Statistics, Operations Research, Mathematics, Computer Science, or other quantitative fields or related work experience 6+ years professional experience Passion for solving unstructured and non-standard, ambiguous mathematical problems by leveraging expertise in one or multiple fields. End-to-end experience with data, including querying, aggregation, analysis, and visualization Proficiency with Python, or another interpreted programming language like R or Matlab Strong communicator. Able to coordinate with several teams of data scientists to deliver on complex initiatives. Strong business sense and understanding of experimentation methodologies.",Company Website,2021-04-19,2021-04-20,Pending,,Ruwaifa Rufy,Connected,,Yuanyuan Pao,Cold Called / Messaged,,,,,,,
Lyft,Staff Data Scientist - Decisions,https://boards.greenhouse.io/lyft/jobs/5105690002,,5,"Leverage data to build analytic frameworks to identify opportunities for growth and efficiency Partner with product managers, engineers, and operators to translate analytical insights into decisions and action Design and analyze experiments; communicate results and act on launch decisions Develop analytical frameworks to monitor business and product performance Establish metrics that measure the health of our products, as well as rider and driver experience","Degree in a quantitative field such as statistics, economics, applied math, operations research or engineering (advanced degrees preferred), or relevant work experience 5+ years of industry experience in a data science or analytics role Proficiency in SQL - able to write structured and efficient queries on large data sets Experience in programming, especially with data science and visualization libraries in Python or R Strong oral and written communication skills, and ability to collaborate with and influence cross-functional partners",Company Website,2021-04-20,2021-04-21,Pending,,Ruwaifa Rufy,Connected,,Yuanyuan Pao,Cold Called / Messaged,,,,,,,
CDW,Business/Data Analyst,https://www.cdwjobs.com/,,2,"Partner with business leaders to understand key objectives to design optimized data products. Research new and emerging data platforms and trends. Contribute to key and strategic initiatives from concept to product levels, not limiting to data analysis, but exploring further on industry best practices and data architecture, driving innovative ideas and data research. Perform data quality activities (data quality rule creation, edit checks, identification of issues, root cause analysis, value case analysis, remediation planning, and monitoring). Assist with improvements to maximize value of data. Support data innovation and transformation efforts across the enterprise. Develop KPI’s and KRI’s for the data function to create dashboards. Leverage general business experience with knowledge to convert high level business objectives into functional and technical requirements, user stories and specifications. Participate in workshops with all the relevant teams including business, technology, compliance and testing organizations to define the business value, KPI trees and contribute to the initiatives. Identify, analyze and interpret trends or patterns in complex data sets. Collect and analyze process data to initiate and recommend business practices and procedures that focus on increased productivity and reduced cost. Assess and document the structure, quality and compliance of source data, data tracking and tagging. Map attributes to source including identification and documentation of transformation algorithms, scoring mechanisms, as necessary. Document business, data and technical specifications. Present data availability, insights and accuracy to business users. Actively research on the industry trends.","Working experience with business analysis teams that utilize big data, advanced analytics and machine learning technologies. Basic knowledge of SQL, NOSQL, Big Data and Cloud Technologies. Ability to cultivate and develop stakeholder relationships. Strong experience building end-to-end data views Ability to effectively present information, interact with and respond to questions from managers, employees, customers and vendors. Execute requests with strong attention to detail and strong time-management skills. Passion to explore new technologies and trends in data science.",Indeed,2021-04-02,2021-04-02,Rejected,2021-04-19,,,,,,,,,,,,
Softcrylic,Data Visualization Consultant,,,,,,Indeed,2021-04-17,2021-04-17,Pending,,Amber Taylor,Cold Called / Messaged,,,,,,,,,,
ARDX,Data Quality Analyst/Data Subject Matter Expert,,,,,,Indeed,2021-04-15,2021-04-15,Pending,,Audrey Wilson,Cold Called / Messaged,,,,,,,,,,
Citi,Data Scientist,https://jobs.citi.com/job/san-francisco/data-scientist/287/5973822224,,2,"Sit at the intersection between product, engineering, and leadership to inform, influence, support, and execute our product decisions Understand and stay up to date on current research in the field of racial equity Work on all Studio products including but not limited to City Builder and Worthi to help extract, clean, analyze new data sources and potential new features Conduct original research on Studio initiatives including but not limited to Racial Equity and COVID-19 response Work within the bank to help find and reduce bias in our products and help define best practices and standards Build key data sets to enable deep-dive analyses and machine learning models to drive customer success Help design and analyze experiments to understand ecosystems, user behaviors, and long-term trends Define, evaluate and report key product metrics Create visualizations to represent data for consumption by our Product and Marketing teams Participate on a cross-functional team using agile methodologies Become a source of knowledge and make recommendations to the greater team and company as a data expert relating to above research","Master’s degree in a quantitative discipline: statistics, operations research, computer science, informatics, engineering, applied mathematics, economics, etc. or equivalent experience You have 2+ years of experience working as a Data Scientist on a software team Excellent proficiency Python & SQL Experienced with packages such as NumPy, SciPy, pandas, scikit-learn, matplotlib Hands on experience with medium to large datasets (i.e. data extraction, cleaning, analysis and presentation) Experience creating visualizations to explain complex analysis Experience with version control systems such as git Experience with taking observational data and using models to try to show causal impact (i.e. Causal Inference) Some experience with Data Engineering processes (i.e. creating and maintaining data pipelines) You have a wide range of experience with statistical tools, machine learning, and big data analysis You have excellent written and verbal skills You have an entrepreneurial mindset You have experience, drive and knowledge around Diversity, Equity, and Inclusion work and thinking. You are highly motivated and a standout teammate You can work out of our office in downtown San Francisco or New York",Company Website,2021-04-18,2021-04-18,Pending,,Syed Kamran Munawar,Connected,,Syam Godavarthi,Cold Called / Messaged,,,,,,,
Citi,Data Analytics,https://citi-1.talentify.io/job/data-analytics-tampa-florida-citi-21272313,,7,"Provide solutions to enhance and sustain the Data Governance Program Develop analytical solutions to measure progress and effectiveness of MRM’s key initiatives such as policy implementation, new model identification and attestation. Synthesize trends and observations that emerge from the data to inform, or recommend strategic and tactical solutions to senior management Develop and implement business rules to streamline data quality scorecard monitoring process around critical data elements Develop solution for business requests, including the production of the daily report production process, as well as ad-hoc request Define, prototype and document reporting requirements for technology implementation in partnership with IT Support cross-functional efforts to resolve data issues impacting MRM's key metrics and indicators Participate in system enhancements projects and UAT Develop good relationships with internal and external stakeholders by delivering continuous data / process improvements and providing analytical expertise in various MRM initiatives, as required.","Strong quantitative and analytical skills. Prior experience working in data quality management for a financial institution is preferred Proficiency in R, Python, SQL, programming Knowledge of UNIX, LINUX, as well as Windows operating system is preferred Working experience of big data in EAP and business intelligent reporting tool, preferable Tableau, ability to create visually compelling presentations Expert proficiency with Microsoft Office application, especially Excel and Power Point. Prior experience in developing analytical solutions for Board of Directors or senior management Can turn significant amounts of data into meaningful insights through various statistical and analytical techniques Strong interpersonal, communication (written and spoken) and organizational skills Proven ability to meet deadlines while simultaneously working on multiple projects Ability to work both independently and collaboratively in the team environment Must have strong attention to detail with the ability to work with large amount of data/ information for high level communication. Must be a team player with can-do attitude A self-starter with strong planning, organizational skills, and willingness to learn Familiarity with Citi’s O&T, Risk Management functions is a plus Minimum of 7+ years of relevant experience is required",Company Website,2021-04-18,2021-04-18,Pending,,Syed Kamran Munawar,Connected,,Don Aude,Cold Called / Messaged,,,,,,,
Alkymi,Data Scientist,https://www.linkedin.com/jobs/view/2467648390/?midToken=AQFExoyeq7-NyA&midSig=3iVc200nuNH9I1&trk=eml-email_jobs_job_application_viewed_01-applied_jobs-0-applied_job&trkEmail=eml-email_jobs_job_application_viewed_01-applied_jobs-0-applied_job-null-3rwqxr%7Eknni1lrx%7E5e-null-jobs%7Eview,,,"Our core product, Alkymi Data Inbox, places packaged machine learning applications in a seamless workflow, democratizing access to ML technology and allowing our users to drive transformative productivity gains. We're building the first enterprise platform that understands complex documents using computer vision and natural language programming paired with a human feedback loop.","Strong knowledge of Python and general software development skills (source code management, debugging, testing, deployment, etc.). Strong understanding of text pre-processing and normalization techniques, such as tokenization, and POS tagging. Ability to design NLP pipelines to meet customer requirements Familiarity with different approaches for training entity tagging models (e.g. CRF, RNN, CNN, Transformer). Experience with asynchronous programming a plus. Familiarity with deep learning frameworks such as Tensorflow and Pytorch a plus. Familiarity with computer vision deep learning algorithms a plus (CNN, RCNN) BS, MS and/or PhD in Mathematics, Physics, etc",Linked In,2021-04-18,2021-04-18,Pending,,Michael Czirjak,Cold Called / Messaged,InMail,Harald Collet,Cold Called / Messaged,,,,,,,
USAA,Decision Science Analyst I,,,,,,Linked In,2021-04-18,2021-04-18,Rejected,2021-04-19,,Pending ,,,Pending ,,,,,,,
